source	interaction	target
JUNB	upregulates-expression	CLU
WT1	upregulates-expression	BCL2
FOS	downregulates-expression	CLU
FOSL1	upregulates-expression	CLU
CREB1	upregulates-expression	TH
ESR2	upregulates-expression	OXT
SP1	upregulates-expression	ABCB1
HIF1A	upregulates-expression	VEGFA
JUN	upregulates-expression	SPI1
SMAD4	upregulates-expression	CDKN1A
ESR1	upregulates-expression	C3
EGR1	upregulates-expression	TNF
SP1	upregulates-expression	FN1
PPARG	upregulates-expression	FABP4
STAT5A	upregulates-expression	BCL2L1
SP1	upregulates-expression	LEP
STAT5A	upregulates-expression	OSM
EGR1	upregulates-expression	MMP14
PPARG	upregulates-expression	CD36
STAT1	upregulates-expression	PTGS2
PAX5	upregulates-expression	CD79A
ETS1	upregulates-expression	PARP1
POU2F1	downregulates-expression	HLA-DRA
ETS1	upregulates-expression	MGAT5
STAT1	downregulates-expression	HSP90AA1
HSF1	upregulates-expression	HSPA4
CEBPB	upregulates-expression	HP
HIF1A	upregulates-expression	TFRC
MYC	upregulates-expression	HSPA4
SP1	upregulates-expression	PSEN1
NR0B1	downregulates-expression	NR5A1
NR5A1	upregulates-expression	NR0B1
SP1	upregulates-expression	SLC25A5
ESR1	upregulates-expression	E2F1
SP1	upregulates-expression	E2F1
TFAP2A	upregulates-expression	CYP11A1
SP1	upregulates-expression	SPI1
SP1	upregulates-expression	PLAT
SP3	upregulates-expression	PLAT
SPI1	upregulates-expression	IL1B
PGR	upregulates-expression	IGFBP1
SREBF2	upregulates-expression	LDLR
NR5A1	upregulates-expression	CYP11A1
CEBPB	upregulates-expression	CXCL8
HNF1A	upregulates-expression	UGT1A1
NFKB1	upregulates-expression	CCND1
RELA	upregulates-expression	CCND1
CEBPB	upregulates-expression	IL1B
RELA	upregulates-expression	PLAU
REL	upregulates-expression	CCL2
RELA	upregulates-expression	CCL2
TP53	upregulates-expression	MDM4
WT1	downregulates-expression	MYCN
CREB1	downregulates-expression	JUN
SP1	upregulates-expression	HMGA2
SP3	upregulates-expression	HMGA2
RELA	upregulates-expression	CXCL8
PAX3	upregulates-expression	MITF
RELA	upregulates-expression	TNF
NFKB1	upregulates-expression	TNF
NFIC	downregulates-expression	CYP1A1
E2F1	upregulates-expression	RB1
SP1	upregulates-expression	LHCGR
ESRRA	upregulates-expression	CYP19A1
USF1	upregulates-expression	PKLR
STAT3	upregulates-expression	JUNB
SP1	upregulates-expression	CCND1
ESR1	upregulates-expression	TFAP2C
TFAP2C	upregulates-expression	ESR1
WT1	downregulates-expression	IGF1R
ESR1	upregulates-expression	CCND1
SP3	upregulates-expression	ITGAV
E2F1	upregulates-expression	CCNE1
E2F1	upregulates-expression	CCND1
YY1	upregulates-expression	TP53
IRF1	upregulates-expression	CIITA
SP1	upregulates-expression	MMP2
SP3	upregulates-expression	MMP2
TFAP2A	upregulates-expression	MMP2
ETV4	upregulates-expression	MMP2
ATF2	upregulates-expression	CDKN1A
MYC	upregulates-expression	CCND2
EGR1	downregulates-expression	FAS
FLI1	upregulates-expression	TGFBR2
SP1	upregulates-expression	BAX
ETS2	upregulates-expression	TP53
ETS1	upregulates-expression	TP53
EGR1	upregulates-expression	NAB2
TP53	downregulates-expression	CDK1
NR1H4	upregulates-expression	FABP6
TP53	upregulates-expression	CDKN1B
TP53	downregulates-expression	MAP4
PPARG	upregulates-expression	UCP1
MEF2C	upregulates-expression	JUN
TFAP2A	upregulates-expression	CDH1
STAT6	upregulates-expression	IRF1
STAT1	upregulates-expression	IRF1
EPAS1	upregulates-expression	VEGFA
ATF1	upregulates-expression	IL10
CEBPB	upregulates-expression	FOS
CREB1	upregulates-expression	IL10
RELA	upregulates-expression	IL6
SPI1	upregulates-expression	ITGB2
HNF1A	upregulates-expression	ALB
USF1	upregulates-expression	CCNB1
AR	upregulates-expression	MYC
SP1	upregulates-expression	F3
NFKB1	upregulates-expression	ICAM1
NFKB1	upregulates-expression	VCAM1
RELA	upregulates-expression	ICAM1
RELA	upregulates-expression	VCAM1
TP53	upregulates-expression	ING1
ETS1	upregulates-expression	FLT1
CEBPE	upregulates-expression	LTF
IRF2	upregulates-expression	CIITA
USF1	upregulates-expression	BRCA2
ELF1	upregulates-expression	BRCA2
USF2	upregulates-expression	BRCA2
SP1	upregulates-expression	TNF
SMAD4	upregulates-expression	SMAD7
FOSL1	downregulates-expression	ELN
JUN	downregulates-expression	ELN
HIF1A	upregulates-expression	CDKN1A
TFAP2A	upregulates-expression	MPG
ATF6	upregulates-expression	HSPA5
ATF1	upregulates-expression	TGFB2
MYC	upregulates-expression	CAD
IRF8	upregulates-expression	NCF2
EGR1	upregulates-expression	TP73
ERG	upregulates-expression	ICAM2
SP1	upregulates-expression	NOS3
CTCF	upregulates-expression	APP
NFKB1	upregulates-expression	BCL2L1
RELA	upregulates-expression	BCL2L1
SREBF1	upregulates-expression	FASN
MITF	upregulates-expression	TYR
HIF1A	upregulates-expression	SERPINE1
MYB	upregulates-expression	CCNA1
E2F1	upregulates-expression	CDKN2A
E2F1	upregulates-expression	CCNA2
TP53	upregulates-expression	TNFRSF10B
TP53	downregulates-expression	BRCA1
WT1	downregulates-expression	TERT
MYC	upregulates-expression	HMOX1
SMAD3	upregulates-expression	CDKN1A
FOS	upregulates-expression	IL2
AR	upregulates-expression	CDKN1A
EGR1	upregulates-expression	IGF2
WT1	downregulates-expression	IGF2
MYC	upregulates-expression	NCL
ETS1	upregulates-expression	PTHLH
SP1	upregulates-expression	FMR1
TFAP2A	upregulates-expression	FMR1
TP53	upregulates-expression	TGFB1
TP53	upregulates-expression	GDF15
SP1	upregulates-expression	SRC
SMAD1	upregulates-expression	SPP1
CTCF	downregulates-expression	MYC
HNF4A	downregulates-expression	CYP7A1
RARA	upregulates-expression	RARB
CEBPB	upregulates-expression	PTGS2
PPARA	upregulates-expression	LPL
NEUROD1	upregulates-expression	INS
REST	downregulates-expression	GRIN1
SP1	upregulates-expression	CCL2
TFAP2A	upregulates-expression	ERBB2
CEBPB	upregulates-expression	PRL
RELA	upregulates-expression	FN1
NFKB1	upregulates-expression	FN1
PGR	downregulates-expression	MYC
STAT1	upregulates-expression	CIITA
ETS1	upregulates-expression	PRL
FOXA2	upregulates-expression	PDX1
JUN	upregulates-expression	CD44
SNAI1	downregulates-expression	CDH1
SP1	upregulates-expression	IL10
STAT6	upregulates-expression	ALOX15
JUN	upregulates-expression	PTGS2
EGR1	upregulates-expression	FLT1
HNF4A	downregulates-expression	GH1
CDX2	upregulates-expression	LCT
SPI1	upregulates-expression	PRTN3
NR5A1	upregulates-expression	AMH
VDR	upregulates-expression	BGLAP
HIF1A	upregulates-expression	NOS2
TP53	upregulates-expression	CAV1
FOS	upregulates-expression	MMP1
SP1	upregulates-expression	PLAUR
E2F1	downregulates-expression	SERPINE1
TP53	upregulates-expression	SERPINB5
MYB	upregulates-expression	BCL2
NR5A1	upregulates-expression	POU5F1
EGR1	upregulates-expression	CHRNA7
PAX8	upregulates-expression	TPO
ETS1	upregulates-expression	CTSB
SP3	upregulates-expression	CTSB
IRF1	upregulates-expression	IFNB1
ARNT	upregulates-expression	VEGFA
STAT4	upregulates-expression	MYC
MYC	upregulates-expression	IL2
KLF12	downregulates-expression	TFAP2A
CEBPA	upregulates-expression	DEFA3
REL	upregulates-expression	ICAM1
GATA2	upregulates-expression	NOS3
PRDM1	downregulates-expression	MYC
YY1	downregulates-expression	MYC
IRF1	upregulates-expression	CCL5
SP1	upregulates-expression	RELA
SP1	upregulates-expression	IGF1R
POU2F1	downregulates-expression	HBG1
SP3	upregulates-expression	ITGAD
SP1	upregulates-expression	ITGAD
MYC	upregulates-expression	FASLG
SPI1	upregulates-expression	TLR4
STAT3	upregulates-expression	GFAP
ESR1	upregulates-expression	LTF
WT1	upregulates-expression	AMH
LEF1	upregulates-expression	MITF
STAT3	upregulates-expression	VEGFA
TP53	downregulates-expression	ABCB1
HNF1A	upregulates-expression	SLC2A2
TP53	upregulates-expression	BDKRB2
CEBPA	upregulates-expression	IL6
