Method	MWU_Tests	MWU_Significant	MWU_Mean_ROC_AUC	MWU_Median_ROC_AUC	MWU_Mean_PR_AUC	MWU_Median_PR_AUC	DeLong_Top2_Tests	Best_Count_DeLong_Significant	Top_Mean_ROC_AUC	Top_Median_ROC_AUC	Mean_AUC_Diff	Median_AUC_Diff	Second_Method_Count
z-aggregate	669	194	0.5441547826053484	0.5180349427014841	0.028399861586672622	0.0077258332952399615	80	25	0.6432698659253397	0.6353464530298442	0.02360001208280534	0.018647269744602513	45
zscore	669	179	0.5401809976891008	0.5162502999267206	0.028768825734461836	0.007405249250722732	35	14	0.6539418074047934	0.6107694479812055	0.013302928006963716	0.008717426705766806	52
viper	669	178	0.5403861586643794	0.5191226946254369	0.026730873059870607	0.0073637007812001375	41	9	0.5992351970046783	0.587225972280817	0.009092481692902958	0.007584812692021936	34
ulm	669	183	0.5407569215333519	0.5176751289835012	0.028768318056827	0.007654963428547384	64	4	0.6824378330500331	0.65908405213008	0.004634019904019609	0.0010175418444287043	89
