Dataset	TF	Method	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
FrangiehIzar2021_RNA	STAT1	ulm	707	56261	12566438.0	0.315925973124803	0.684074026875197	0.024219686604568295	0.012410476056733604	1.9515517772122302	5.32431673857789e-64	1.1713496824871356e-62	True	-0.5391826774033843	145.69316156026028
FrangiehIzar2021_RNA	JAK2	ulm	1087	56261	25010131.0	0.4089582514351441	0.591041748564856	0.024836340309656466	0.018954453511892306	1.3103168758768897	3.567179671519735e-25	3.923897638671708e-24	True	-0.2849686409839396	56.29285204925801
FrangiehIzar2021_RNA	SMAD4	ulm	628	56261	14628951.0	0.41404361745762497	0.585956382542375	0.014636409943900095	0.011039040939373166	1.3258769511123127	5.833129552006939e-14	4.277628338138422e-13	True	-0.25210871486840614	30.472637644207154
FrangiehIzar2021_RNA	JAK1	ulm	990	56261	24989021.0	0.4486488927238292	0.5513511072761708	0.020759967617496745	0.017292274370753348	1.200534248554855	1.4416273873904195e-08	7.928950630647308e-08	True	-0.14989909504184112	18.054908138348555
FrangiehIzar2021_RNA	MYC	ulm	185	56261	4090440.0	0.39299846228269114	0.607001537717309	0.005070553230782796	0.0032774687311767	1.5470943117014362	2.411007478386021e-07	1.060843290489849e-06	True	-0.5867404812153483	15.238050949986402
FrangiehIzar2021_RNA	TP53	ulm	548	56261	13908122.0	0.45110795527155306	0.5488920447284469	0.011226518235651298	0.009646358851590417	1.1638088949801362	3.9804377687666604e-05	0.00014594938485477756	True	-0.20425660442389637	10.131533659570149
FrangiehIzar2021_RNA	SMAD3	ulm	711	56261	18835393.0	0.4708663317248215	0.5291336682751785	0.013557056828316549	0.012479814645790914	1.0863187645891004	0.0037456837159757254	0.011772148821637995	True	-0.07789550931513334	5.587151110992634
FrangiehIzar2021_RNA	CDKN2A	ulm	865	56261	23197343.0	0.4766665642675092	0.5233334357324908	0.01667187766672184	0.015141966880229668	1.1010377844961292	0.009157803561478784	0.025183959794066655	True	-0.09770795578231795	4.693148914914087
FrangiehIzar2021_RNA	STAT3	ulm	528	56261	14055381.0	0.47315262389092394	0.5268473761090761	0.010042759090915959	0.00929757523464051	1.0801481932083834	0.0167081172309332	0.04084206434228116	True	-0.08578566633151041	4.09186061591664
FrangiehIzar2021_RNA	TSC22D3	ulm	671	56261	18301399.0	0.4847907470639754	0.5152092529360246	0.011652630004302923	0.01178599030422258	0.9886848456109897	0.08743964088951567	0.1923672099569345	False	0.0011219465880913937	2.436806542058293
FrangiehIzar2021_RNA	RB1	ulm	775	56261	21472606.0	0.49246526700728344	0.5075347329927165	0.014157980009141792	0.013587909390560348	1.0419542552276273	0.23525103828882038	0.47050207657764076	False	-0.024976143873033513	1.4471020869713596
FrangiehIzar2021_RNA	IRF3	ulm	791	56261	21978300.0	0.4938671804840592	0.5061328195159409	0.014055469840615599	0.01386454462595527	1.013770752650823	0.27647722555479126	0.48700855354080697	False	0.003651130853792539	1.2856268283025336
FrangiehIzar2021_RNA	CDKN1A	ulm	1036	56261	28847829.0	0.49493245387826	0.50506754612174	0.018389404306281554	0.01808122589315322	1.0170441105569634	0.2877777816377496	0.48700855354080697	False	-0.014086486501843742	1.2455666882117435
FrangiehIzar2021_RNA	CCND1	ulm	631	56261	17547092.0	0.4942746607382938	0.5057253392617062	0.01085630064336441	0.011091190325529073	0.9788219591161458	0.3101493314192494	0.4873775208016776	False	-0.027612862324565612	1.1707013832343671
FrangiehIzar2021_RNA	TFAP2A	ulm	604	56261	16923312.0	0.49801333920159957	0.5019866607984005	0.010662678068777631	0.010621647762243912	1.0038628946705959	0.43320063153180355	0.6001986961647581	False	0.012843189565580337	0.8365543060267161
FrangiehIzar2021_RNA	FOS	ulm	708	56261	19846890.0	0.49825510581885457	0.5017448941811454	0.012075304664031297	0.012427811616844248	0.9716356375779647	0.4365081426652786	0.6001986961647581	False	-0.023909570993287055	0.8289482494313895
FrangiehIzar2021_RNA	KLF4	ulm	717	56261	20194639.0	0.500621493216377	0.49937850678362306	0.012808312320781496	0.01258380427533434	1.017841031260095	0.5228409496276483	0.6766176995181331	False	-0.004492107243581955	0.6484779727791424
FrangiehIzar2021_RNA	DNMT1	ulm	331	56261	9377811.0	0.5035771722331467	0.49642282776685337	0.005734850319065385	0.005848883234379418	0.9805034720741639	0.5889272895719623	0.7198000205879539	False	0.02396475662329106	0.5294525501970327
FrangiehIzar2021_RNA	TIMP3	ulm	496	56261	14128630.0	0.5063034984986449	0.49369650150135513	0.008826971008802063	0.008739010166146907	1.010065309569715	0.6858700195487022	0.7941652857932341	False	0.01591393027179211	0.3770671450856009
FrangiehIzar2021_RNA	FOXM1	ulm	258	56261	7488590.0	0.5159087580323655	0.48409124196763453	0.004344273999019684	0.004564836603620021	0.9516822563976494	0.8114256062108572	0.892568166831943	False	0.03690888603845277	0.20896257064653587
FrangiehIzar2021_RNA	RUVBL2	ulm	65	56261	1998235.0	0.5464189567031678	0.4535810432968322	0.0010085272506949515	0.0011539963782267514	0.8739431680406745	0.9024528109442784	0.9454267543225774	False	0.20210561261803672	0.10263887718446689
FrangiehIzar2021_RNA	E2F1	ulm	583	56261	17313044.0	0.5278340842391546	0.4721659157608455	0.009200829105380585	0.010256139610161143	0.897104510576765	0.989723938441213	0.989723938441213	False	0.11989618790636336	0.010329224798789137
FrangiehIzar2021_RNA	STAT1	viper	707	56261	13106663.0	0.3295074756023823	0.6704925243976178	0.021941174253066794	0.012410476056733604	1.7679558908751192	3.3160338869745705e-55	7.295274551344055e-54	True	-0.6044534154344734	125.4434106582193
FrangiehIzar2021_RNA	JAK2	viper	1087	56261	25387646.0	0.4151312648548074	0.5848687351451926	0.02394644346181734	0.018954453511892306	1.263367653770286	3.9778517047166764e-22	4.3756368751883436e-21	True	-0.24084158485905274	49.27613014498663
FrangiehIzar2021_RNA	SMAD4	viper	628	56261	15325816.0	0.4337670074313564	0.5662329925686437	0.01430593416208979	0.011039040939373166	1.2959399499158057	5.394964427991142e-09	3.956307247193504e-08	True	-0.25972525298128324	19.037799831772205
FrangiehIzar2021_RNA	JAK1	viper	990	56261	25488622.0	0.457618649300276	0.5423813506997239	0.02039813187206499	0.017292274370753348	1.1796095432399927	2.333588413108934e-06	1.2834736272099137e-05	True	-0.2016990818632094	12.968103383648227
FrangiehIzar2021_RNA	MYC	viper	185	56261	4253073.0	0.4086238030568917	0.5913761969431083	0.00412896027067622	0.0032774687311767	1.2598015753437293	8.607228726646642e-06	3.787180639724523e-05	True	-0.4446876206061293	11.662908158158729
FrangiehIzar2021_RNA	TP53	viper	548	56261	14084043.0	0.4568139278391885	0.5431860721608115	0.010686956479522235	0.009646358851590417	1.1078746544620048	0.0002459726639162344	0.0009018997676928595	True	-0.17545901745222153	8.310290150498181
FrangiehIzar2021_RNA	CDKN2A	viper	865	56261	22801004.0	0.46852246132368414	0.5314775386763159	0.016856131863564595	0.015141966880229668	1.1132062298705099	0.0007297907625750961	0.002293628110950302	True	-0.14307875975930406	7.222752691516552
FrangiehIzar2021_RNA	SMAD3	viper	711	56261	18970956.0	0.4742552736241284	0.5257447263758717	0.013264085849753334	0.012479814645790914	1.0628431772604037	0.009061313243756454	0.024918611420330247	True	-0.08484175860425647	4.703741219789441
FrangiehIzar2021_RNA	KLF4	viper	717	56261	19512383.0	0.4837084888553764	0.5162915111446236	0.013487825433439498	0.01258380427533434	1.0718400523661307	0.0665987506682779	0.16279694607801265	False	-0.053812783410039144	2.709069460346307
FrangiehIzar2021_RNA	IRF3	viper	791	56261	21648823.0	0.48646361073460875	0.5135363892653912	0.014501444221624553	0.01386454462595527	1.0459372891682983	0.09516194365484287	0.20935627604065432	False	-0.027173200862149083	2.352175168631518
FrangiehIzar2021_RNA	CDKN1A	viper	1036	56261	28723723.0	0.49280320917422993	0.5071967908257701	0.01884657997332046	0.01808122589315322	1.0423286609375892	0.2132664318007806	0.4265328636015612	False	-0.02475913208235392	1.545213041413426
FrangiehIzar2021_RNA	STAT3	viper	528	56261	14665807.0	0.4937016693839804	0.5062983306160196	0.009607684623935934	0.00929757523464051	1.0333537918725337	0.3088900475871398	0.566298420576423	False	-0.01306512493773071	1.1747698984593216
FrangiehIzar2021_RNA	TSC22D3	viper	671	56261	18749615.0	0.4966636628714515	0.5033363371285485	0.011604139403287382	0.01178599030422258	0.9845705879403238	0.38300192273555034	0.6247167703315295	False	0.004630802594393997	0.9597152696168328
FrangiehIzar2021_RNA	RB1	viper	775	56261	21682910.0	0.4972885015747458	0.5027114984252542	0.013805241040095626	0.013587909390560348	1.015994487694057	0.39754703566551874	0.6247167703315295	False	-0.007847720549827741	0.9224420231697549
FrangiehIzar2021_RNA	DNMT1	viper	331	56261	9272817.0	0.4979391207068953	0.5020608792931047	0.006000802768761497	0.005848883234379418	1.0259741096367088	0.44848052712008873	0.6577714397761302	False	0.003822356824722317	0.8018900162183101
FrangiehIzar2021_RNA	TIMP3	viper	496	56261	13976048.0	0.5008356788722607	0.49916432112773934	0.00896587350865141	0.008739010166146907	1.0259598442147744	0.5255907066972343	0.7226872217086971	False	-0.002122594806399425	0.6432324932899053
FrangiehIzar2021_RNA	TFAP2A	viper	604	56261	17163150.0	0.5050712084441824	0.4949287915558176	0.010676260121263045	0.010621647762243912	1.0051416089331506	0.6661972893821958	0.796748522239919	False	0.026623665784839795	0.40616942200568396
FrangiehIzar2021_RNA	FOXM1	viper	258	56261	7376050.0	0.5081555799802939	0.4918444200197061	0.0046470318488489384	0.004564836603620021	1.0180061746709037	0.6746361209634804	0.796748522239919	False	0.024173833573182257	0.3935818135196041
FrangiehIzar2021_RNA	FOS	viper	708	56261	20129683.0	0.5053546088714654	0.4946453911285347	0.011991749708577316	0.012427811616844248	0.9649124140507643	0.6881009964799301	0.796748522239919	False	0.010248985294914914	0.3738196546132487
