Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	HINFP	top2_delong	2	1	collectri	0.6299749475252218	0.04949179483411821	True	4953	30	4923	dorothea	0.517821111788205	0.733970491281822	False	0.11215383573701676	2.22920264383677	0.025800424715650666	0.07994937092414611	True
NadigOConner2024_hepg2	MYBL2	top2_delong	3	3	causalpath	0.6269327048308659	1.7339925847262823e-06	True	5059	136	4923	collectri	0.5750364435841369	0.01813497763413419	True	0.05189626124672908	2.2180513379593556	0.026551332216859194	0.07994937092414611	True
NadigOConner2024_hepg2	MAX	top2_delong	3	1	causalpath	0.6171124201593428	0.012156020897136676	True	4968	45	4923	dorothea	0.5243415261696798	0.637172980335062	False	0.09277089398966298	1.8996007015520777	0.05748554009893444	0.12774564466429875	False
NadigOConner2024_hepg2	CTCF	top2_delong	2	1	collectri	0.6133807575437245	0.03037058878107664	True	4972	49	4923	dorothea	0.5512567001206332	0.30891076355673946	False	0.06212405742309124	1.7315287223724467	0.0833575066264157	0.13892917771069282	False
NadigOConner2024_hepg2	HSF1	top2_delong	3	1	dorothea	0.6133010867357302	0.05980738943301623	True	4955	32	4923	collectri	0.49845749542961604	0.8363772704439657	False	0.11484359130611421	2.1975347173940873	0.027982279823451136	0.07994937092414611	True
NadigOConner2024_hepg2	GABPA	top2_delong	3	1	collectri	0.605807484034621	0.009720386868226679	True	5005	82	4923	dorothea	0.5426767338971379	0.28358790599604283	False	0.06313075013748315	1.8368402808898854	0.06623347747785269	0.13246695495570537	False
NadigOConner2024_hepg2	POLR2D	single_available_significant	1	1	causalpath	0.602344396387291	0.0032509472822419626	True	5005	82	4923				False					True
NadigOConner2024_hepg2	HDAC3	top2_delong	2	1	collectri	0.5988218565915092	0.07572691140687096	True	4965	42	4923	causalpath	0.5080912722594624	0.5662751701292631	False	0.09073058433204684	2.13943042371796	0.03240082517495451	0.08100206293738627	True
NadigOConner2024_hepg2	GTF2F2	single_available_significant	1	1	causalpath	0.5933834382828899	0.010579653266321733	True	4998	75	4923				False					True
NadigOConner2024_hepg2	THAP1	single_available_significant	1	1	dorothea	0.5925292751618163	0.00014994235529030837	True	5108	185	4923				False					True
NadigOConner2024_hepg2	SP1	top2_delong	3	1	collectri	0.5913588747226772	0.03037058878107664	True	5000	77	4923	causalpath	0.5378860424564263	0.24770840426680435	False	0.05347283226625088	2.2271906343196086	0.025934535800284483	0.07994937092414611	True
NadigOConner2024_hepg2	MCM5	single_available_significant	1	1	causalpath	0.5899857810278286	0.060713328761170395	True	4967	44	4923				False					True
NadigOConner2024_hepg2	NPM1	top2_delong	2	1	causalpath	0.5890673823693389	0.05882683527367819	True	4970	47	4923	collectri	0.5627125822777151	0.24520081806589	False	0.02635480009162372	0.43949284439982633	0.6603044657589197	0.6603044657589197	False
