Prior	Top_Count	Best_Count_DeLong_Significant	Top2_DeLong_Tests	Single_Available_Significant_Count	Top_Mean_ROC_AUC	Top_Median_ROC_AUC	Mean_AUC_Diff	Median_AUC_Diff	Second_Prior_Count
causalpath	37	9	37	0	0.6330097794920568	0.603368343071537	0.03398316239481006	0.02676174974186485	13
collectri	23	7	23	0	0.6823583928968222	0.6215043112289872	0.021068047195009345	0.011221793473701891	17
dorothea	26	3	26	0	0.666409049843769	0.6450529528093487	0.020023157870240657	0.014855800638692185	16
ensemble	9	0	9	0	0.6456000765391893	0.6134691139864739	0.008156886805921847	0.008143115013343971	49
