Prior	Top_Count	Best_Count_DeLong_Significant	Top2_DeLong_Tests	Single_Available_Significant_Count	Top_Mean_ROC_AUC	Top_Median_ROC_AUC	Mean_AUC_Diff	Median_AUC_Diff	Second_Prior_Count
collectri	76	13	76	0	0.6338304841181119	0.6032020573967407	0.016259210524165034	0.004314860876836746	23
ensemble	29	12	20	9	0.6165822106683843	0.6096730559516819	0.008580200093872503	0.007979346574217394	228
causalpath	156	11	156	0	0.6478142434750195	0.6240116742394847	0.012264321192725637	0.0	15
dorothea	35	3	35	0	0.6595010992986824	0.6440449513659966	0.02163650651222888	0.015587159719379073	21
