Prior	Top_Count	Best_Count_DeLong_Significant	Top2_DeLong_Tests	Single_Available_Significant_Count	Top_Mean_ROC_AUC	Top_Median_ROC_AUC	Mean_AUC_Diff	Median_AUC_Diff	Second_Prior_Count
causalpath	39	14	39	0	0.6356676901806968	0.6131320188733538	0.05459022928768017	0.0335547477048852	27
dorothea	31	10	31	0	0.6627854938655802	0.6440449513659966	0.05725500596841272	0.03942622263232953	23
collectri	24	7	24	0	0.6789039204589206	0.6180904476980463	0.03445482884025368	0.018996725116640634	44
