Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_jurkat	HSF1	top2_delong	3	1	dorothea	0.6257654559181276	0.03376601931029036	True	11953	32	11921	collectri	0.5550079691301064	0.3672691952883166	False	0.07075748678802118	1.6639447890188601	0.09612346324881398	0.24030865812203492	False
NadigOConner2024_jurkat	GABPA	top2_delong	3	2	collectri	0.5845461790118279	0.005154826378125382	True	12041	120	11921	causalpath	0.5771271985012443	0.01173989489946927	True	0.00741898051058365	0.20740028072529537	0.83569726337901	0.83569726337901	False
NadigOConner2024_jurkat	USF2	top2_delong	3	1	dorothea	0.5549664789601085	0.05552554702008789	True	12060	139	11921	collectri	0.5422997563697217	0.1836251504643244	False	0.012666722590386814	0.49143510641387456	0.6231187393518762	0.6923541548354181	False
NormanWeissman2019_filtered	IRF1	top2_delong	3	3	dorothea	0.9253023752853743	1.827364876312537e-192	True	12184	420	11764	causalpath	0.8997328411133239	3.369055645283197e-170	True	0.025569534172050434	3.512102281551201	0.0004445768659148059	0.0008891537318296118	True
NormanWeissman2019_filtered	CEBPA	top2_delong	3	3	causalpath	0.8160823241412223	1.1857103276908366e-114	True	12215	451	11764	collectri	0.7110116850913494	7.953959839505278e-52	True	0.1050706390498729	7.593853078008804	3.105304759569699e-14	1.5526523797848494e-13	True
NormanWeissman2019_filtered	TP73	top2_delong	3	3	causalpath	0.7523410957502978	9.842881594409341e-42	True	12010	246	11764	dorothea	0.6412195605720082	5.605976355620041e-14	True	0.1111215351782896	5.5424945574198	2.9819267543698676e-08	9.93975584789956e-08	True
NormanWeissman2019_filtered	SPI1	top2_delong	3	3	causalpath	0.7220904588706953	7.547705019184043e-76	True	12371	607	11764	dorothea	0.6946135054758968	2.4106146891244857e-58	True	0.027476953394798498	2.1268610999620523	0.033431625814668076	0.04775946544952583	True
NormanWeissman2019_filtered	HNF4A	top2_delong	3	3	dorothea	0.6909991638124897	3.41087126427449e-23	True	11997	233	11764	collectri	0.5748938713146823	0.00014675006282787278	True	0.11610529249780743	4.971914652256675	6.629489130464062e-07	1.6573722826160153e-06	True
NormanWeissman2019_filtered	CEBPB	top2_delong	3	3	causalpath	0.6857816573161056	3.8546702794955996e-43	True	12244	480	11764	dorothea	0.5420649509803921	0.0017530227465529713	True	0.14371670633571354	9.17891891057573	4.354409291809282e-20	4.354409291809282e-19	True
NormanWeissman2019_filtered	JUN	top2_delong	3	2	dorothea	0.5890686648746094	8.748473888964875e-07	True	12029	265	11764	collectri	0.5654879292757566	0.0003253886267065653	True	0.023580735598852764	1.111494796434554	0.26635542862542705	0.3329442857817838	False
NormanWeissman2019_filtered	AHR	top2_delong	3	3	collectri	0.5431618356706429	0.000651888164768433	True	12321	557	11764	causalpath	0.5288087168533523	0.0189824874804262	True	0.014353118817290622	0.9153857890246446	0.35998913612198247	0.3999879290244249	False
NormanWeissman2019_filtered	ETS2	top2_delong	3	2	causalpath	0.5380388220782786	3.3285385549107665e-06	True	12959	1195	11764	collectri	0.5330003314843241	0.00022709318640542586	True	0.005038490593954448	0.5036389655596715	0.6145151055253875	0.6145151055253875	False
NormanWeissman2019_filtered	FOXA1	top2_delong	3	1	dorothea	0.5227101051212774	0.021038589750252842	True	12599	835	11764	causalpath	0.4912180060144926	0.9167723277791546	False	0.03149209910678474	2.239828880579137	0.025102034164939887	0.041836723608233144	True
PapalexiSatija2021_eccite_RNA	STAT1	top2_delong	3	3	collectri	0.8432022760396608	3.146180044560873e-116	True	2830	444	2386	causalpath	0.8015223941460321	4.3926159781020125e-90	True	0.0416798818936287	5.573149607311157	2.501745495770689e-08	1.5010472974624135e-07	True
PapalexiSatija2021_eccite_RNA	IRF1	top2_delong	3	3	dorothea	0.6391043903978552	4.955325262744666e-39	True	3459	1073	2386	collectri	0.6104813805915058	4.805816724405233e-25	True	0.028623009806349353	3.6404434492699393	0.0002721688825466497	0.0008165066476399491	True
PapalexiSatija2021_eccite_RNA	SPI1	top2_delong	3	2	causalpath	0.6356436853869796	0.001271112181939878	True	2434	48	2386	dorothea	0.5788453478625315	0.05088474928146655	True	0.05679833752444807	1.2027848180723355	0.22905960130063685	0.4001766071338902	False
PapalexiSatija2021_eccite_RNA	MYC	top2_delong	3	3	collectri	0.6312895560494322	4.477457899163846e-06	True	2495	109	2386	dorothea	0.6220152725762668	1.6001000474320552e-05	True	0.00927428347316539	0.967127087220243	0.3334805059449085	0.4001766071338902	False
PapalexiSatija2021_eccite_RNA	SMAD4	top2_delong	3	3	collectri	0.5961533324768788	6.171063266116932e-14	True	3045	659	2386	causalpath	0.5824256824394196	1.4563990540295063e-10	True	0.013727650037459238	0.9797161280019578	0.3272262627527075	0.4001766071338902	False
PapalexiSatija2021_eccite_RNA	STAT3	top2_delong	3	2	causalpath	0.528282799086626	0.03407258435103769	True	2879	493	2386	dorothea	0.5229185121457318	0.07757902601765154	True	0.005364286940894192	0.4551886987466412	0.6489734901846631	0.6489734901846631	False
ReplogleWeissman2022_K562_essential	MAX	top2_delong	3	2	causalpath	0.7831585154570313	1.23066578546759e-37	True	10826	180	10646	collectri	0.5588562214290187	0.014818064088492131	True	0.2243022940280126	9.082627334638225	1.0598498988096813e-19	9.538649089287132e-19	True
ReplogleWeissman2022_K562_essential	ATF4	top2_delong	3	2	dorothea	0.7395905086939278	3.0285663171453955e-11	True	10718	72	10646	causalpath	0.5732265117832467	0.08200202199657639	True	0.16636399691068116	4.561941090279513	5.068286895415404e-06	1.5204860686246214e-05	True
ReplogleWeissman2022_K562_essential	GATA1	top2_delong	3	1	collectri	0.7302630990401044	5.33418366213943e-15	True	10751	105	10646	causalpath	0.5382804183104766	0.2951889581166925	False	0.19198268072962787	5.625625385781815	1.8483708678948303e-08	8.317668905526737e-08	True
ReplogleWeissman2022_K562_essential	NRF1	top2_delong	3	3	dorothea	0.6940022380318389	1.7783792334260844e-07	True	10715	69	10646	collectri	0.6788900777865811	1.4721976063623019e-06	True	0.015112160245257855	0.4074132302840002	0.6837045114287135	0.6982578032124351	False
ReplogleWeissman2022_K562_essential	MYBL2	top2_delong	3	3	causalpath	0.6386773645783366	7.850752672413988e-06	True	10749	103	10646	dorothea	0.6273380402685543	2.264343913982892e-05	True	0.01133932430978224	0.3876733186475204	0.6982578032124351	0.6982578032124351	False
ReplogleWeissman2022_K562_essential	TFDP1	top2_delong	3	3	dorothea	0.6250569066523444	1.8218016195027878e-07	True	10809	163	10646	collectri	0.5887962759134167	0.00031011691751121195	True	0.03626063073892771	1.826768445010642	0.06773459221949633	0.12511844485876797	False
ReplogleWeissman2022_K562_essential	HSF1	top2_delong	3	2	dorothea	0.6200707718861543	9.799559169464655e-06	True	10774	128	10646	collectri	0.569260168138268	0.014818064088492131	True	0.050810603747886374	1.815088910288741	0.06951024714375999	0.12511844485876797	False
ReplogleWeissman2022_K562_essential	MYC	top2_delong	3	3	collectri	0.6107290924110669	0.0027821655736657443	True	10719	73	10646	dorothea	0.6031733572838471	0.00451620267540067	True	0.007555735127219743	0.40403663814863167	0.6861857772611835	0.6982578032124351	False
ReplogleWeissman2022_K562_essential	USF2	top2_delong	3	1	dorothea	0.5409303555530145	0.08482301900337216	True	10830	184	10646	collectri	0.5235498738044091	0.3310166315522439	False	0.017380481748605403	0.7830892403427963	0.4335747091221117	0.6503620636831676	False
ReplogleWeissman2022_K562_gwps	SREBF2	top2_delong	3	3	causalpath	0.7916540368216419	1.7640806617530333e-41	True	74803	188	74615	collectri	0.725969551499114	9.203891794877561e-25	True	0.06568448532252791	4.345210628106324	1.3914208683375817e-05	0.00013218498249207027	True
