Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	NELFA	top2_delong	2	2	causalpath	0.6736745886654478	0.0004212726549961848	True	4963	40	4923	ensemble	0.6736745886654478	0.0006299815912622685	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	POLR2E	top2_delong	2	2	causalpath	0.673355941033907	1.282668743119934e-10	True	5054	131	4923	ensemble	0.673355941033907	1.6304144912546718e-10	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	NRF1	top2_delong	4	3	causalpath	0.6711625702484936	0.0028574851885546895	True	4953	30	4923	ensemble	0.6252217482564831	0.037568854952592476	True	0.04594082199201044	0.9419847782567257	0.3462004331662051	1.0	False
NadigOConner2024_hepg2	ETV4	top2_delong	3	2	dorothea	0.6613146808679755	0.021454683708033856	True	4946	23	4923	ensemble	0.6156196734052231	0.09204361946917522	True	0.04569500746275246	1.8716105645593881	0.06126050075101481	0.4403403047208956	False
NadigOConner2024_hepg2	ATR	top2_delong	2	2	causalpath	0.6534257566524477	6.569257823933221e-07	True	5023	100	4923	ensemble	0.6534257566524477	1.0437820764693895e-06	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	SRF	top2_delong	4	4	dorothea	0.6490700981156319	0.0025392844362169646	True	4966	43	4923	ensemble	0.6299051911058204	0.009092297762920538	True	0.019164907009811438	1.3478777105310453	0.17769771820708857	0.7107908728283543	False
NadigOConner2024_hepg2	POLR2B	top2_delong	2	2	causalpath	0.6418989185594912	6.569257823933221e-07	True	5040	117	4923	ensemble	0.6418989185594912	1.0437820764693895e-06	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	ATF5	top2_delong	2	2	collectri	0.6338315947951393	0.009720386868226679	True	4974	51	4923	ensemble	0.6338315947951393	0.0033699907644954173	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	HINFP	top2_delong	3	1	collectri	0.6299749475252218	0.04949179483411821	True	4953	30	4923	ensemble	0.5773647504908931	0.17988488795312862	False	0.052610197034328676	1.4277410415198133	0.15336640846443808	0.664587770012565	False
NadigOConner2024_hepg2	MYBL2	top2_delong	4	4	causalpath	0.6269327048308659	1.7339925847262823e-06	True	5059	136	4923	ensemble	0.575925129344852	0.007397711124260666	True	0.05100757548601398	2.2432366411438385	0.024881558645824736	0.25876820991657723	False
NadigOConner2024_hepg2	MAX	top2_delong	4	2	ensemble	0.620091633376216	0.013498424478804796	True	4968	45	4923	causalpath	0.6171124201593428	0.012156020897136676	True	0.002979213216873222	0.11160675759065937	0.9111352137198743	1.0	False
NadigOConner2024_hepg2	TAF12	single_available_significant	1	1	ensemble	0.6166113706637777	0.016666563644185506	True	4968	45	4923				False					True
NadigOConner2024_hepg2	SNW1	single_available_significant	1	1	ensemble	0.6141189706089158	0.012113021082056013	True	4975	52	4923				False					True
NadigOConner2024_hepg2	CTCF	top2_delong	3	1	collectri	0.6133807575437245	0.03037058878107664	True	4972	49	4923	ensemble	0.554689151711873	0.21922695183737928	False	0.0586916058318514	1.7730963359034575	0.07621274504784731	0.4403403047208956	False
NadigOConner2024_hepg2	HSF1	top2_delong	4	1	dorothea	0.6133010867357302	0.05980738943301623	True	4955	32	4923	ensemble	0.5783186065407272	0.16700468817244563	False	0.03498248019500305	1.534109056207738	0.12500282573965346	0.6500146938461979	False
NadigOConner2024_hepg2	THAP1	top2_delong	2	2	ensemble	0.6075014685617977	4.306122783300606e-06	True	5108	185	4923	dorothea	0.5925292751618163	0.00014994235529030837	True	0.014972193399981348	3.6681815728828626	0.00024428168439429585	0.006351323794251692	True
NadigOConner2024_hepg2	GABPA	top2_delong	4	2	collectri	0.605807484034621	0.009720386868226679	True	5005	82	4923	ensemble	0.5757370827821624	0.03774126358108171	True	0.030070401252458634	1.1512497975367852	0.2496294838701112	0.7664301731588594	False
NadigOConner2024_hepg2	POLR2D	top2_delong	2	2	causalpath	0.602344396387291	0.0032509472822419626	True	5005	82	4923	ensemble	0.602344396387291	0.004491646969667639	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	HDAC3	top2_delong	3	1	collectri	0.5988218565915092	0.07572691140687096	True	4965	42	4923	ensemble	0.5503419324260275	0.27799367511139383	False	0.04847992416548175	2.0947196322213864	0.036195922983246094	0.3136979991881328	False
NadigOConner2024_hepg2	NPM1	top2_delong	3	2	ensemble	0.597771640713801	0.04141376820915306	True	4970	47	4923	causalpath	0.5890673823693389	0.05882683527367819	True	0.00870425834446209	0.24157768831689458	0.809107412228204	1.0	False
NadigOConner2024_hepg2	GTF2F2	top2_delong	2	2	causalpath	0.5933834382828899	0.010579653266321733	True	4998	75	4923	ensemble	0.5933834382828899	0.013498424478804796	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	SP1	top2_delong	4	2	collectri	0.5913588747226772	0.03037058878107664	True	5000	77	4923	ensemble	0.5690464319349146	0.06920732724678019	True	0.022312442787762676	4.994766720361799	5.890692821682171e-07	3.0631602672747284e-05	True
NadigOConner2024_hepg2	MCM5	top2_delong	2	2	causalpath	0.5899857810278286	0.060713328761170395	True	4967	44	4923	ensemble	0.5899857810278286	0.06993838177015935	True	0.0	0.0	1.0	1.0	False
