Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	top2_delong	4	4	collectri	0.7444115973222096	6.256650763065301e-110	True	56968	707	56261	dorothea	0.6487676764741175	2.0522208035536917e-41	True	0.09564392084809215	12.5033488931692	7.15714624934031e-36	3.578573124670155e-35	True
FrangiehIzar2021_RNA	MYC	top2_delong	4	4	collectri	0.6215043112289872	4.649787694443509e-08	True	56446	185	56261	ensemble	0.6198435188890389	7.195744785584371e-08	True	0.0016607923399483138	0.5056926581252066	0.6130724231378923	0.6134359602095385	False
FrangiehIzar2021_RNA	SMAD3	top2_delong	4	4	collectri	0.5502898123676193	1.1079256065929335e-05	True	56972	711	56261	ensemble	0.5470891880721386	3.860139518721987e-05	True	0.0032006242954807362	0.50517495378676	0.6134359602095385	0.6134359602095385	False
FrangiehIzar2021_RNA	TP53	top2_delong	4	2	causalpath	0.5469747554314439	0.00027524302905136385	True	56809	548	56261	dorothea	0.5232578037942816	0.07869172891925699	True	0.023716951637162365	1.7590121429991028	0.07857544608093676	0.1964386152023419	False
FrangiehIzar2021_RNA	SMAD4	top2_delong	4	4	causalpath	0.5466486129195174	0.0001242200051448104	True	56889	628	56261	collectri	0.5352337892422906	0.0049990984174046755	True	0.011414823677226793	0.8117400564612017	0.41694080448099224	0.6134359602095385	False
GasperiniShendure2019_lowMOI	MAX	top2_delong	4	1	causalpath	0.718458295694068	0.08184343795999875	True	378	9	369	ensemble	0.6187895212285457	0.4821925290972303	False	0.09966877446552236	2.159443903241232	0.030815744945347754	0.030815744945347754	True
NadigOConner2024_hepg2	MYC	top2_delong	4	4	collectri	0.8705409459522805	1.3123790455162025e-18	True	4975	52	4923	ensemble	0.8612048625759777	2.0321320484735572e-17	True	0.009336083376302762	2.5644425906910953	0.010334167362580034	0.0620050041754802	True
NadigOConner2024_hepg2	ATF4	top2_delong	4	3	dorothea	0.7614813583734973	0.00014994235529030837	True	4945	22	4923	ensemble	0.723921112403745	0.0009659418300234704	True	0.03756024596975227	1.5573088455669428	0.1193971762883532	0.32639778466240615	False
NadigOConner2024_hepg2	MAX	top2_delong	4	2	causalpath	0.7271898345633871	6.059863723615837e-07	True	4968	45	4923	ensemble	0.6958855259891213	3.001032247997862e-05	True	0.031304308574265804	1.2832955943183515	0.1993885356140782	0.3284003484211642	False
NadigOConner2024_hepg2	NRF1	top2_delong	4	3	causalpath	0.6711625702484936	0.002714610929126955	True	4953	30	4923	dorothea	0.6054032094251472	0.0840014404563949	True	0.06575936082334632	1.2293687919726581	0.21893356561410948	0.3284003484211642	False
