Dataset	TF	Prior	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
FrangiehIzar2021_RNA	STAT1	causalpath	707	56261	14179943.0	0.3564902234928655	0.6435097765071346	0.019510249878404058	0.012410476056733604	1.5720790877976272	1.0225882040774073e-39	2.249694048970296e-38	True	-0.7511339368196103	89.77848175839702
FrangiehIzar2021_RNA	MYC	causalpath	185	56261	3966298.0	0.3810712331570475	0.6189287668429526	0.005243858910496113	0.0032774687311767	1.599972216550614	1.1075052361885025e-08	8.121705065382352e-08	True	-1.3366544552759527	18.318570793090945
FrangiehIzar2021_RNA	SMAD4	causalpath	628	56261	16017769.5	0.4533513870804826	0.5466486129195174	0.01274278039103741	0.011039040939373166	1.15433763322568	2.8231819351093274e-05	0.0001242200051448104	True	-0.1820128061816657	10.475060870340409
FrangiehIzar2021_RNA	TP53	causalpath	548	56261	13967234.0	0.4530252445685561	0.5469747554314439	0.01194686565269922	0.009646358851590417	1.2384844723799089	7.506628065037195e-05	0.00027524302905136385	True	-0.31495708685324936	9.497139092693056
FrangiehIzar2021_RNA	SMAD3	causalpath	711	56261	18983627.0	0.4745720361832789	0.5254279638167211	0.013324610989413127	0.012479814645790914	1.067693020096828	0.009797138162677695	0.02694212994736366	True	-0.06111074122540247	4.625664960169547
FrangiehIzar2021_RNA	KLF4	causalpath	717	56261	19472898.0	0.48272966275902235	0.5172703372409777	0.01341996335602869	0.01258380427533434	1.066447241422319	0.05571131601475929	0.13618321692496713	False	-0.06340715613410286	2.8875719926335686
FrangiehIzar2021_RNA	STAT3	causalpath	528	56261	14358856.0	0.4833686395603176	0.5166313604396824	0.009753805656414389	0.00929757523464051	1.0490698284509787	0.0938090767359242	0.20637996881903325	False	-0.07195986246201082	2.366493660744066
FrangiehIzar2021_RNA	IRF3	causalpath	791	56261	22131705.5	0.49731430522781767	0.5026856947721823	0.013983861943397142	0.01386454462595527	1.0086059312195874	0.3960898822198312	0.5809318272557525	False	-0.07391625890238518	0.9261141181800493
FrangiehIzar2021_RNA	TFAP2A	causalpath	604	56261	17015001.0	0.500711531201963	0.49928846879803696	0.010955228147102584	0.010621647762243912	1.0314057095777953	0.5240235256390723	0.6781480920035053	False	0.011471151723631237	0.6462186994111302
FrangiehIzar2021_RNA	FOS	causalpath	708	56261	20242499.0	0.5081868484827122	0.4918131515172877	0.011788225126700792	0.012427811616844248	0.9485358718121715	0.7733435368042292	0.8954504110364759	False	0.009825865761079744	0.2570319089335332
FrangiehIzar2021_RNA	FOXM1	causalpath	258	56261	7499086.0	0.516631855214119	0.48336814478588097	0.0042939233527420516	0.004564836603620021	0.9406521471846048	0.822075600416857	0.9042831604585427	False	0.03216620695685548	0.19592291684501376
FrangiehIzar2021_RNA	E2F1	causalpath	583	56261	17457155.0	0.5322276904538553	0.4677723095461446	0.00912176850456422	0.010256139610161143	0.8893958985822445	0.9963376581906388	0.9963376581906388	False	0.24190045348466543	0.0036690646022551426
FrangiehIzar2021_RNA	STAT1	collectri	707	56261	10166419.0	0.25558840267779037	0.7444115973222096	0.02927388717261276	0.012410476056733604	2.35880453246026	3.680382801803118e-111	6.256650763065301e-110	True	-2.9185662099510203	254.28392855333905
FrangiehIzar2021_RNA	MYC	collectri	185	56261	3939491.0	0.3784956887710127	0.6215043112289872	0.00497830767646832	0.0032774687311767	1.5189489465185448	5.470338464051187e-09	4.649787694443509e-08	True	-2.8251076053415707	19.023925346000613
FrangiehIzar2021_RNA	SMAD3	collectri	711	56261	17989114.0	0.44971018763238074	0.5502898123676193	0.013730653070155486	0.012479814645790914	1.1002289264597727	1.9551628351640003e-06	1.1079256065929335e-05	True	-0.2396669796371029	13.145037076351512
FrangiehIzar2021_RNA	SMAD4	collectri	628	56261	16421077.0	0.4647662107577094	0.5352337892422906	0.012392173800667844	0.011039040939373166	1.1225770308060397	0.0011762584511540413	0.0049990984174046755	True	-0.2009078972472498	6.745416682262405
FrangiehIzar2021_RNA	TP53	collectri	548	56261	15084398.0	0.4892602997214365	0.5107397002785635	0.009479086590559665	0.009646358851590417	0.9826595440202628	0.19305596976247918	0.5420629660390358	False	0.18893400765664126	1.6447751333494447
FrangiehIzar2021_RNA	STAT3	collectri	528	56261	14567413.0	0.4903893878261113	0.5096106121738887	0.009260823371367088	0.00929757523464051	0.9960471561298591	0.22320239778077944	0.5420629660390358	False	0.08843527909160227	1.4996763057872564
FrangiehIzar2021_RNA	KLF4	collectri	717	56261	20062048.0	0.49733458601258623	0.5026654139874138	0.012588666743283308	0.01258380427533434	1.000386406832352	0.4029673070383012	0.8308527690616879	False	-0.005839916135921219	0.9088998443006204
FrangiehIzar2021_RNA	FOS	collectri	708	56261	20159750.0	0.50610943928906	0.49389056071093995	0.011714528743775859	0.012427811616844248	0.9426059152601228	0.7121293004707961	0.9915694900809894	False	0.1724930662205047	0.3394957822729433
FrangiehIzar2021_RNA	IRF3	collectri	791	56261	22824785.0	0.5128882676596846	0.48711173234031535	0.013272289824240436	0.01386454462595527	0.9572827800917387	0.8937864155515133	0.9915694900809894	False	0.09015326358562312	0.11228844113093943
FrangiehIzar2021_RNA	FOXM1	collectri	258	56261	7602010.0	0.5237225616103462	0.47627743838965375	0.004217448476214625	0.004564836603620021	0.9238991101828467	0.9060703000172705	0.9915694900809894	False	0.12057861726420407	0.09863838211135693
FrangiehIzar2021_RNA	TFAP2A	collectri	604	56261	17592908.0	0.5177179773880275	0.4822820226119725	0.009607016616174942	0.010621647762243912	0.9044751653622318	0.9332418730174018	0.9915694900809894	False	0.258841036850021	0.06909086948423926
FrangiehIzar2021_RNA	E2F1	collectri	583	56261	17698258.0	0.5395783551441498	0.46042164485585024	0.008738734165295673	0.010256139610161143	0.8520490649949695	0.9995050277487012	0.9995050277487012	False	0.5597745003402377	0.0004950947905009136
FrangiehIzar2021_RNA	STAT1	dorothea	707	56261	13970802.0	0.35123232352588246	0.6487676764741175	0.02026904952789752	0.012410476056733604	1.6332209526241388	1.5786313873489937e-42	2.0522208035536917e-41	True	-2.570946849283196	96.2520156446268
FrangiehIzar2021_RNA	MYC	dorothea	185	56261	4006791.0	0.3849616915755093	0.6150383084244907	0.004785881570040543	0.0032774687311767	1.4602371410946404	3.128339653154259e-08	2.0334207745502685e-07	True	-2.089183302265323	17.280178342396216
FrangiehIzar2021_RNA	SMAD3	dorothea	711	56261	18315169.0	0.45786124249970084	0.5421387575002992	0.01339602121583304	0.012479814645790914	1.0734150783522363	5.488640258782514e-05	0.0002378410778805756	True	-0.27992689715733726	9.810244916121453
FrangiehIzar2021_RNA	SMAD4	dorothea	628	56261	16573164.0	0.46907073345713457	0.5309292665428654	0.012527257188532166	0.011039040939373166	1.1348139079592456	0.0037915650710303784	0.012322586480848729	True	-0.2378243360894974	5.574976397625737
FrangiehIzar2021_RNA	TP53	dorothea	548	56261	14698452.0	0.47674219620571845	0.5232578037942816	0.00994502130092213	0.009646358851590417	1.0309611589125642	0.030266049584329616	0.07869172891925699	True	-0.06684812060653426	3.497728670433783
FrangiehIzar2021_RNA	KLF4	dorothea	717	56261	19625100.0	0.48650272314948134	0.5134972768505186	0.012914771312165493	0.01258380427533434	1.0263010318334247	0.10673824322815578	0.209691927491365	False	-0.05423196835629389	2.237375766632655
FrangiehIzar2021_RNA	STAT3	dorothea	528	56261	14398775.0	0.48471245084462944	0.5152875491553706	0.009525660042772582	0.00929757523464051	1.0245316442594927	0.11291103787996576	0.209691927491365	False	-0.12421057429957866	2.181155045732354
FrangiehIzar2021_RNA	IRF3	dorothea	791	56261	22403857.0	0.5034297324432759	0.496570267556724	0.013455332165237699	0.01386454462595527	0.9704849692681936	0.6299881164123623	0.9599715182529684	False	0.13099409337313356	0.4620543226119844
FrangiehIzar2021_RNA	TFAP2A	dorothea	604	56261	17161385.0	0.5050192686380918	0.4949807313619082	0.010155446151282149	0.010621647762243912	0.9561083532991048	0.6645956664828243	0.9599715182529684	False	0.02716449996368708	0.4085764435721819
FrangiehIzar2021_RNA	FOXM1	dorothea	258	56261	7494839.0	0.516339268158964	0.4836607318410361	0.004385070541894527	0.004564836603620021	0.960619387431538	0.8178128096720387	0.9999911615781433	False	-0.00692975841657123	0.20112180759877396
FrangiehIzar2021_RNA	FOS	dorothea	708	56261	20659162.0	0.5186471506840044	0.4813528493159957	0.011556254918241186	0.012427811616844248	0.9298704610696076	0.9561864887505493	0.9999911615781433	False	0.7942853035378074	0.04480231303998717
FrangiehIzar2021_RNA	E2F1	dorothea	583	56261	18092047.0	0.5515840576767865	0.44841594232321347	0.008525848553817553	0.010256139610161143	0.8312921701427187	0.9999911615781433	0.9999911615781433	False	1.2139497939795416	8.838460915807836e-06
FrangiehIzar2021_RNA	STAT1	ensemble	707	56261	14032718.0	0.3527889199577429	0.6472110800422571	0.02030670106761679	0.012410476056733604	1.6362548039886753	1.0990687247053205e-41	2.747671811763301e-40	True	-2.7035470089580156	94.31152560543575
FrangiehIzar2021_RNA	MYC	ensemble	185	56261	3956777.0	0.3801564811109611	0.6198435188890389	0.005107421711105002	0.0032774687311767	1.5583433832704483	8.634893742701245e-09	7.195744785584371e-08	True	-3.20219738194466	18.567454430843142
FrangiehIzar2021_RNA	SMAD3	ensemble	711	56261	18117144.0	0.45291081192786153	0.5470891880721386	0.013413572564872675	0.012479814645790914	1.0748214573360424	7.720279037443975e-06	3.860139518721987e-05	True	-0.2887638283684907	11.771660049834166
FrangiehIzar2021_RNA	SMAD4	ensemble	628	56261	16872548.0	0.47754420734934555	0.5224557926506544	0.011645058503173048	0.011039040939373166	1.054897664310528	0.026276090064106583	0.09384317880038065	True	-0.21970958180331576	3.639095876339175
FrangiehIzar2021_RNA	TP53	ensemble	548	56261	14886301.0	0.48283505175370733	0.5171649482462927	0.009753323687572282	0.009646358851590417	1.0110886229330178	0.0829947651286761	0.2593586410271128	False	0.12409841516243891	2.488977743913424
FrangiehIzar2021_RNA	STAT3	ensemble	528	56261	14548905.0	0.4897663446824944	0.5102336553175055	0.009280241895504922	0.00929757523464051	0.9981357140224035	0.20874471487555613	0.5798464302098781	False	0.07798370772055728	1.5666432335330849
FrangiehIzar2021_RNA	KLF4	ensemble	717	56261	20103112.0	0.4983525552368659	0.5016474447631342	0.012698102860075899	0.01258380427533434	1.00908299129903	0.4396540963786852	0.7850966006762234	False	-0.0017248827708201617	0.8217670058374362
FrangiehIzar2021_RNA	TFAP2A	ensemble	604	56261	17419171.0	0.5126053053819292	0.48739469461807083	0.00977232613025416	0.010621647762243912	0.9200386182067927	0.8571116729887585	0.9999951502018279	False	0.21766731619165997	0.15418706200219673
FrangiehIzar2021_RNA	IRF3	ensemble	791	56261	22753232.0	0.5112804236332961	0.48871957636670393	0.0133184197087367	0.01386454462595527	0.9606099636192745	0.8624433856814103	0.9999951502018279	False	0.15023095563026032	0.1479857720206767
FrangiehIzar2021_RNA	FOXM1	ensemble	258	56261	7627291.0	0.5254642365200176	0.4745357634799824	0.004235687840893692	0.004564836603620021	0.927894732866165	0.9212640546483601	0.9999951502018279	False	0.2447337889574267	0.08200857953161438
FrangiehIzar2021_RNA	FOS	ensemble	708	56261	20551092.0	0.515934059147454	0.4840659408525459	0.011656224150077218	0.012427811616844248	0.9379144542454083	0.9277910975797621	0.9999951502018279	False	0.7989539146920851	0.07494868190371386
FrangiehIzar2021_RNA	E2F1	ensemble	583	56261	18143836.0	0.5531629827571284	0.4468370172428716	0.008494455499171175	0.010256139610161143	0.8282312665435442	0.9999951502018279	0.9999951502018279	False	1.3125263889238208	4.8498099323666185e-06
GasperiniShendure2019_lowMOI	MAX	causalpath	9	369	935.0	0.28154170430593195	0.718458295694068	0.08795813741050819	0.023809523809523808	3.694241771241344	0.012591298147692116	0.08184343795999875	True	-2.1390677995847796	4.374749326813801
GasperiniShendure2019_lowMOI	CEBPB	causalpath	16	369	2448.0	0.4146341463414634	0.5853658536585367	0.08884018146311709	0.04155844155844156	2.137716866456255	0.12396803274099216	0.4028961064082245	False	-0.5435172368702826	2.087731547089225
GasperiniShendure2019_lowMOI	MYC	causalpath	20	369	3486.0	0.47235772357723577	0.5276422764227643	0.06507765575194571	0.05141388174807198	1.265760404375344	0.3388797213178549	0.5382768544546106	False	-0.40704711203171035	1.0821100389317597
GasperiniShendure2019_lowMOI	GATA2	causalpath	15	369	2690.0	0.4859981933152665	0.5140018066847335	0.04209570358493069	0.0390625	1.0776500117742258	0.4275041760070989	0.5557554288092286	False	-0.30687107051963225	0.8497912222153748
GasperiniShendure2019_lowMOI	CEBPB	collectri	16	369	2047.0	0.3467140921409214	0.6532859078590787	0.1087970738463775	0.04155844155844156	2.6179295894284587	0.018967979121090422	0.360391603300718	False	-1.2230823362265322	3.965003030963501
GasperiniShendure2019_lowMOI	MYC	collectri	20	369	3360.0	0.45528455284552843	0.5447154471544715	0.07728011578073155	0.05141388174807198	1.5030982519352285	0.25053747847130853	0.7337223026399716	False	-1.6279222925463972	1.3841467549924518
GasperiniShendure2019_lowMOI	GATA2	collectri	15	369	2810.0	0.5076784101174345	0.4923215898825655	0.042275078665157215	0.0390625	1.0822420138280247	0.5406374861557686	0.7337223026399716	False	-0.024676829574799303	0.6150063057832403
GasperiniShendure2019_lowMOI	MAX	collectri	9	369	1797.0	0.5411020776874436	0.4588979223125565	0.1317378910730309	0.023809523809523808	5.532991425067299	0.6638583317403087	0.7883317689416166	False	-1.0231764664444447	0.40968650808208057
GasperiniShendure2019_lowMOI	CEBPB	dorothea	16	369	2385.0	0.40396341463414637	0.5960365853658536	0.12870570128858472	0.04155844155844156	3.09698093725657	0.09681056037141855	0.39068897672309233	False	-0.6188886441179221	2.3349991959039453
GasperiniShendure2019_lowMOI	GATA2	dorothea	15	369	2433.0	0.43956639566395667	0.5604336043360434	0.0763799527833525	0.0390625	1.955326791253824	0.21400872798862935	0.48237299251849153	False	-0.9491617993336001	1.5417384797983757
GasperiniShendure2019_lowMOI	MAX	dorothea	9	369	1622.0	0.48840710629328515	0.5115928937067149	0.04267999951533871	0.023809523809523808	1.792559979644226	0.45329808750369593	0.7252769400059135	False	-0.337451230255839	0.7912053400963053
GasperiniShendure2019_lowMOI	MYC	dorothea	20	369	3966.0	0.5373983739837398	0.4626016260162602	0.057958050022374474	0.05141388174807198	1.1272840729351834	0.7138201688848849	0.9141420315297644	False	-0.22242781882343554	0.33712421267257786
