Weight	MWU_Tests	MWU_Significant	MWU_Mean_ROC_AUC	MWU_Median_ROC_AUC	MWU_Mean_PR_AUC	MWU_Median_PR_AUC	DeLong_Top2_Tests	Best_Count_DeLong_Significant	Top_Mean_ROC_AUC	Top_Median_ROC_AUC	Mean_AUC_Diff	Median_AUC_Diff	Second_Weight_Count
CORRELATION	595	192	0.5486552581423805	0.5216489622806963	0.033521007724639965	0.008800501712569728	118	45	0.6643726794593119	0.6431724896259647	0.051935121787791666	0.030400077627578515	33
NONZERORATE	669	204	0.5450237668149043	0.5189068790437497	0.028204340112086113	0.007731622198622793	83	14	0.6501561117753826	0.6004020639281646	0.015256388684084337	0.009939608431381752	62
SPECIFICITY	669	173	0.5414467405591488	0.5175347771561276	0.027594674415367768	0.0074347065824058025	26	5	0.6539748384902613	0.6205308809743619	0.012388461018603324	0.008405341166227875	62
UNIFORM	669	194	0.5441547826053484	0.5180349427014841	0.028399861586672622	0.0077258332952399615	33	2	0.6357448116263729	0.6051198726642459	0.00925122976688956	0.006452118530887563	103
