Dataset	TF	Weight	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
FrangiehIzar2021_RNA	STAT1	CORRELATION	707	56261	10576468.0	0.2658972212430713	0.7341027787569286	0.024097707150237152	0.012410476056733604	1.9417230281961955	3.62569342830984e-102	7.976525542281649e-101	True	-1.437050718432531	233.57563392481148
FrangiehIzar2021_RNA	MYC	CORRELATION	185	56261	3160355.0	0.3036383996018556	0.6963616003981444	0.00956953455634521	0.0032774687311767	2.919794311175469	1.2712353633039448e-20	1.3983588996343394e-19	True	-2.2228146228109225	45.81171270519178
FrangiehIzar2021_RNA	JAK2	CORRELATION	1087	56261	26533487.5	0.43386772554195147	0.5661322744580486	0.021480724189142347	0.018954453511892306	1.1332811138904648	3.685852567056986e-14	2.7029585491751235e-13	True	-0.4410067637804733	30.931689441554415
FrangiehIzar2021_RNA	TP53	CORRELATION	548	56261	14019807.0	0.45473044233231535	0.5452695576676847	0.011400749604939416	0.009646358851590417	1.1818707742828527	0.00012947547225639023	0.0007121150974101463	True	-0.41784220267481514	8.952019098189334
FrangiehIzar2021_RNA	JAK1	CORRELATION	990	56261	26899349.5	0.4829466255667354	0.5170533744332646	0.018492754702696384	0.017292274370753348	1.0694229287717887	0.0325681167069995	0.14329971351079782	False	-0.13517880674626162	3.424421484301037
FrangiehIzar2021_RNA	KLF4	CORRELATION	717	56261	19541428.0	0.484428509216744	0.515571490783256	0.013880058123760274	0.01258380427533434	1.103009695642417	0.07560849765363775	0.26240039793795134	False	-0.09508290744901997	2.582186599287478
FrangiehIzar2021_RNA	RB1	CORRELATION	775	56261	21172008.0	0.48557117719201576	0.5144288228079842	0.014611241305181662	0.013587909390560348	1.075311947203021	0.08349103570752997	0.26240039793795134	False	-0.15348406573337425	2.483016009684529
FrangiehIzar2021_RNA	SMAD3	CORRELATION	711	56261	19530319.0	0.4882387994211527	0.5117612005788472	0.012761748115867834	0.012479814645790914	1.0225911584489764	0.14016961913308518	0.3854664526159842	False	-0.04988001828584748	1.9649020244893942
FrangiehIzar2021_RNA	CDKN1A	CORRELATION	1036	56261	28859608.0	0.49513454220089365	0.5048654577991063	0.017838697802929716	0.01808122589315322	0.9865867451877064	0.29544020164270846	0.722187159571065	False	-0.047638198397206344	1.219288825921448
FrangiehIzar2021_RNA	DNMT1	CORRELATION	331	56261	9196026.5	0.4938155632109754	0.5061844367890246	0.006056144178825446	0.005848883234379418	1.0354359860063131	0.3487785375581703	0.7673127826279746	False	-0.023859409020865127	1.0533181210705143
FrangiehIzar2021_RNA	FOS	CORRELATION	708	56261	19808461.0	0.49729034784108006	0.5027096521589198	0.012203679012615203	0.012427811616844248	0.9819652396464343	0.4019903592848796	0.8039807185697592	False	-0.09355012900355716	0.9113271725290948
FrangiehIzar2021_RNA	SMAD4	CORRELATION	628	56261	17773871.5	0.5030543920809485	0.4969456079190515	0.01094223559325419	0.011039040939373166	0.9912306380010153	0.6039881112578703	0.9099727673643346	False	-0.032005531810479076	0.5042007645889386
FrangiehIzar2021_RNA	TSC22D3	CORRELATION	671	56261	19032683.0	0.5041619282876585	0.49583807171234157	0.011478857145504208	0.01178599030422258	0.9739408271353883	0.6447756510028584	0.9099727673643346	False	0.10024034844789753	0.4388528505950655
FrangiehIzar2021_RNA	STAT3	CORRELATION	528	56261	15003064.0	0.5050549037413828	0.49494509625861716	0.00912887258738844	0.00929757523464051	0.9818551995553071	0.6556015084401937	0.9099727673643346	False	0.1304022518595557	0.42220213126063455
FrangiehIzar2021_RNA	IRF3	CORRELATION	791	56261	22557503.5	0.5068822726190969	0.4931177273809031	0.013345607664820873	0.01386454462595527	0.9625709336199246	0.7502230940613748	0.9099727673643346	False	0.07138176089154202	0.2873846579353635
FrangiehIzar2021_RNA	TIMP3	CORRELATION	496	56261	14196785.5	0.5087458703416278	0.4912541296583721	0.008799435845671059	0.008739010166146907	1.006914476396678	0.7519388506899772	0.9099727673643346	False	-0.054037013612608154	0.28510027391042636
FrangiehIzar2021_RNA	RUVBL2	CORRELATION	65	56261	1941008.0	0.5307701878470261	0.4692298121529739	0.001131061163394617	0.0011539963782267514	0.9801254013748492	0.8047924375821858	0.9099727673643346	False	0.1650234325524572	0.21717087632322432
FrangiehIzar2021_RNA	CDKN2A	CORRELATION	865	56261	24783507.0	0.5092595790901469	0.49074042090985315	0.014513651068244893	0.015141966880229668	0.9585050068491997	0.8254177983080697	0.9099727673643346	False	0.08811149711034326	0.191865598644298
FrangiehIzar2021_RNA	TFAP2A	CORRELATION	604	56261	17381179.0	0.5114872900204592	0.48851270997954077	0.010372321953393512	0.010621647762243912	0.9765266355624537	0.8346630968949063	0.9099727673643346	False	0.11841840033538627	0.18072711232250302
FrangiehIzar2021_RNA	FOXM1	CORRELATION	258	56261	7523566.0	0.5183183471166845	0.48168165288331555	0.004390607705239495	0.004564836603620021	0.9618323910559342	0.8454061710803372	0.9099727673643346	False	-0.07338894993914646	0.16793809127786705
FrangiehIzar2021_RNA	CCND1	CORRELATION	631	56261	18209763.0	0.5129410861326614	0.48705891386733857	0.010249711369879287	0.011091190325529073	0.9241308704519372	0.868610368847774	0.9099727673643346	False	0.00391397446112135	0.14086062152718368
FrangiehIzar2021_RNA	E2F1	CORRELATION	583	56261	17571102.0	0.5357016670923251	0.4642983329076749	0.008930450235448462	0.010256139610161143	0.8707418751009132	0.9985148000097535	0.9985148000097535	False	0.2792656460488817	0.0014863039929973725
FrangiehIzar2021_RNA	STAT1	NONZERORATE	707	56261	11611761.0	0.29192495865714974	0.7080750413428503	0.025181719642109145	0.012410476056733604	2.029069596282424	3.543144581023674e-81	7.794918078252082e-80	True	-1.0969058677338672	185.24437789995253
FrangiehIzar2021_RNA	JAK2	NONZERORATE	1087	56261	24281449.5	0.3970430674605724	0.6029569325394276	0.025818291299747595	0.018954453511892306	1.3621226949934915	1.1913577132315225e-31	1.3104934845546747e-30	True	-0.5812023892964246	71.20504429057556
