Dataset	TF	CausalPath_MWU-pvalue	CausalPath_MWU-adjusted-pvalue	CausalPath_ROC-AUC	CollecTRI_MWU-pvalue	CollecTRI_MWU-adjusted-pvalue	CollecTRI_ROC-AUC	DoRothEA_MWU-pvalue	DoRothEA_MWU-adjusted-pvalue	DoRothEA_ROC-AUC	Ensemble_MWU-pvalue	Ensemble_MWU-adjusted-pvalue	Ensemble_ROC-AUC	Best3_Top, Second	Best3_DeLongs-pvalue	Best3_DeLongs-adjusted-pvalue	Best3_Winner	Best4_Top, Second	Best4_DeLongs-pvalue	Best4_DeLongs-adjusted-pvalue	Best4_Winner
ReplogleWeissman2022_K562_gwps	ABL1				0.598294433977656	0.9409120818571264	0.4952027221217062				0.598294433977656	0.9572710943642496	0.4952027221217062								
NadigOConner2024_hepg2	ACTL6A	0.1834991496004067	0.3370392543680939	0.5869050037240164							0.1834991496004067	0.3589014974516168	0.5869050037240164								
NadigOConner2024_jurkat	ACTL6A	4.629852816964324e-06	7.870749788839351e-05	0.9268238123199956							4.629852816964324e-06	7.812876628627296e-05	0.9268238123199956	CausalPath			CausalPath	CausalPath, Ensemble	1.0	1.0	
ReplogleWeissman2022_K562_essential	ACTL6A	0.3680662634101385	0.6911808723186602	0.5133968289976925							0.3680662634101385	0.6702359973999129	0.5133968289976925								
ReplogleWeissman2022_K562_gwps	ACTL6A	0.150781434330971	0.5011265317470509	0.5388415334309342							0.150781434330971	0.6614421090513276	0.5388415334309342								
ReplogleWeissman2022_rpe1	ACTL6A	0.0918217734277343	0.1541912799069501	0.5991763778147726							0.0918217734277343	0.184974297195001	0.5991763778147726								
ReplogleWeissman2022_K562_gwps	ADNP										0.3212847170349422	0.8071946609803508	0.5108405282191503								
ReplogleWeissman2022_K562_gwps	AGO1	0.3062549775439046	0.7062614788257392	0.5114298929627371							0.3062549775439046	0.7991546195137081	0.5114298929627371								
ReplogleWeissman2022_K562_gwps	AGO2	0.663068819405631	0.879855710281378	0.4812485042264577							0.663068819405631	0.9743285581947684	0.4812485042264577								
ReplogleWeissman2022_K562_gwps	AGO3	0.0269104858652584	0.1737648515870974	0.5408662676290261							0.0269104858652584	0.3029921371495767	0.5408662676290261								
NormanWeissman2019_filtered	AHR	0.0106776492077397	0.0213552984154794	0.5288087168533523	0.3610024307367981	0.5415036461051973	0.5044538399413481	0.012057338015761	0.0197301894803363	0.5282325287811702	0.1412096645464115	0.2452588910542937	0.5134559868924272	CausalPath, DoRothEA	0.9744001843973648	0.9744001843973648		CausalPath, DoRothEA	0.9744001843973648	1.0	
ReplogleWeissman2022_K562_gwps	AHR				0.1637592901235248	0.6406723104832637	0.5250045022783623	0.8932044160986233	0.9999995011210674	0.468237682604034	0.2749623397355504	0.7643052367853997	0.5152682729679019								
ReplogleWeissman2022_K562_gwps	AIRE				0.4224083961298758	0.8618637173533806	0.5045728421145759				0.4224083961298758	0.8561805032139952	0.5045728421145759								
ReplogleWeissman2022_K562_gwps	AKT1	0.445415843678867	0.7886027772090635	0.5026279345082535							0.445415843678867	0.874096614996425	0.5026279345082535								
ReplogleWeissman2022_K562_gwps	AP1				0.9017988102933884	0.9899555729331274	0.4813497679464368				0.9017988102933884	0.9999973175522412	0.4813497679464368								
ReplogleWeissman2022_K562_gwps	APC	0.194712797571907	0.5790143717269868	0.5131809394668543							0.194712797571907	0.7137208344532978	0.5131809394668543								
GasperiniShendure2019_lowMOI	APEX1	0.607268110681119	0.7176804944413224	0.4779028559516365	0.5020391282774714	0.7337223026399716	0.4996873045653534				0.5336059196676802	0.6936876955679843	0.4932249322493225								
ReplogleWeissman2022_K562_gwps	APEX1				0.6569200004688259	0.9535266025170543	0.4918220065617883				0.6311173853543373	0.9640112170735534	0.4932237117858603								
TianKampmann2021_CRISPRi	APEX1	0.0460820624187425	0.1382461872562276	0.5415623785464438	0.0011518814040348	0.0092150512322786	0.5829071123202487				0.0003608140110771	0.0043297681329253	0.5919704624951418	CollecTRI, CausalPath	0.1604998435317666	0.1604998435317666		Ensemble, CollecTRI	0.1569712851990475	0.1569712851990475	
ReplogleWeissman2022_K562_gwps	AR	0.0497696782837777	0.2499543842696395	0.5292601897286575	0.7480285683487082	0.9559333566863149	0.4881278613865643	0.8182143272615082	0.9999995011210674	0.4838593079695898	0.7739744325567148	0.9999973175522412	0.4866409328894615								
GasperiniShendure2019_lowMOI	ARID1A				0.9811139812891572	0.9811139812891572	0.36610002463661				0.9811139812891572	0.9811139812891572	0.36610002463661								
ReplogleWeissman2022_K562_gwps	ARID2							0.03267834368906	0.4560374197162795	0.5381454543580121	0.03267834368906	0.3387765438272883	0.5381454543580121								
NadigOConner2024_hepg2	ARID3A				0.9755030605587416	0.99999999992544	0.3976856493221416	0.0002900078367934	0.0025392844362169	0.6789788550123514	0.0422926960008095	0.1343967895136837	0.589713851375702	DoRothEA, CollecTRI	7.245561167795649e-05	0.0013042010102032	DoRothEA	DoRothEA, Ensemble	0.0045251653675614	0.1063413861376944	
NadigOConner2024_jurkat	ARID3A				0.8040802711310222	0.946739674073623	0.4760106840437867	0.7601964870417488	0.9394447688875062	0.4801826196917871	0.8361339089561886	0.9647698949494484	0.472564319464512								
ReplogleWeissman2022_K562_essential	ARID3A				0.832521139714669	0.9649676846692754	0.4499615181834159	0.5689000179337941	0.6981954765551109	0.4909885887778539	0.8534481165735097	0.9999748558123746	0.4454103616078733								
ReplogleWeissman2022_K562_gwps	ARID3A				0.5068929811434812	0.9037171005689472	0.4993175028037004	0.0936869036028695	0.7026517770215218	0.5522962528400506	0.1226500132594941	0.6299268000300609	0.5460867674186611								
ReplogleWeissman2022_rpe1	ARID3A				0.2802188323101567	0.7887641205767376	0.5155190260288965	0.4035876616983526	0.5427558209046811	0.5065202185435282	0.3641273149486631	0.6248604540477057	0.5092817141321152								
ReplogleWeissman2022_K562_gwps	ARID3B				0.832600740726692	0.9861500865045688	0.4829377320432151				0.832600740726692	0.9999973175522412	0.4829377320432151								
ReplogleWeissman2022_K562_gwps	ARID4A				0.8689618475253265	0.9861500865045688	0.4794533124289029				0.8689618475253265	0.9999973175522412	0.4794533124289029								
NadigOConner2024_jurkat	ARID5B				0.5800819175427315	0.8803761215621544	0.4952378376946477				0.5800819175427315	0.8115222097123123	0.4952378376946477								
ReplogleWeissman2022_K562_gwps	ARNT	0.0022039494558237	0.0292995633538924	0.5852882070614819	0.2094192086602416	0.7174266107083231	0.5242152728090218	0.176117867096093	0.8299473673295268	0.5278642551477513	0.0253543733821507	0.2958370645170652	0.558526457319617	CausalPath, DoRothEA	0.0891107498920372	0.1520124556981812		CausalPath, Ensemble	0.262810367720342	0.6600008666097198	
